,Activated_CD4,Activated_CD8,Arterial,Arterial capillary,Basal,Bmem,Chief,Contamination,Enterocytes,Enterocytes_Intermediate,Enteroendocrine_CHGA,Enteroendocrine_GAST,Enteroendocrine_GHRL,Erythrocyte,Foveolar_Differentiated,Foveolar_Intermediate,Goblet,IgA1_IGKappa,IgA1_IGLambda,IgA2High_IGKappa,IgG_IGM_IGKappa,IgG_IGM_IGLambda,Intermediate,Intestinal_Undifferentiated,Macrophages,Macrophages_Activated,Mast_Cells,Mast_Cells_Activated,Monocytes,NK-cells_Gastric,NK-cells_Intestine,Naïve,Naïve_FCMR,Neck-Cells,Parietal,S1,S2,S3,SMG,Superficial,Suprabasal,Th1_Th17_TReg,Tmem,Venous,cDC1,gdT,pDC
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.031815972,0.0,0.08361509,0.07188785,0.0,0.0,0.041663717,0.0,0.0,0.031218143,0.0,0.0,0.0,0.0,0.0,0.0,0.05313937,0.07255836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042758718,0.0,0.0,0.0,0.0,0.0,0.0,0.056034904,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.0,0.0,0.0,0.1149761,0.0,0.0,0.0,0.0,0.0716329,0.098143086,0.0,0.0,0.06458081,0.0,0.0,0.13719551,0.0,0.0,0.0,0.0,0.0,0.0,0.1765496,0.08198835,0.23379709,0.0795706,0.0,0.0,0.09239715,0.061155625,0.0,0.0,0.0,0.06340329,0.0,0.0,0.0,0.0,0.0,0.123100236,0.15616769,0.0,0.0,0.11603906,0.0,0.0,0.0
MICOS10,0.0,0.0,0.0,0.0,0.0,0.0,0.045622014,0.0,0.1421026,0.29872233,0.11966547,0.17537697,0.0708941,0.0,0.0,0.20551957,0.13887915,0.0,0.0,0.0,0.0,0.0,0.13810508,0.29397175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08840933,0.5132837,0.0,0.0,0.10506698,0.072737366,0.0,0.18478751,0.0,0.0,0.0,0.0,0.0,0.0
NBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14643598,0.10957215,0.0,0.0,0.0,0.0,0.0,0.0,0.058378488,0.0,0.0,0.0,0.0,0.0,0.0,0.10092638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4360656,0.0,0.0,0.0,0.0,0.054564163,0.0,0.0,0.0,0.0,0.0,0.0
RNF186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043943923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036460645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLA2G2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1382809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997602,0.12998855,0.06085877,0.08151591,0.0,0.0,0.0,0.16240758,0.0,0.0,0.0,0.0,0.0,0.0,0.054843377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08017927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103054896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,0.0,0.0,0.0,0.039259918,0.0,0.0,0.046626456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015641034,0.0,0.071308576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070819736,0.0,0.0,0.0,0.0,0.0,0.0,0.029111788,0.0,0.0,0.0,0.0,0.0,0.0
