,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
SYF2,0.0,0.7158418330959342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5728835485787611,0.34936544052386376,0.0,0.0,0.0,0.0,0.0
RSRP1,0.0,0.48147773332370036,0.0,0.0,0.0,0.41256751306981576,0.5085568652820579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2257560100889846,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.0,0.5020908586580894,0.0,0.0,0.48773693576988714,0.583300066253401,0.0,0.0,0.0,0.0,0.0,0.7378025687799508,0.0,0.0,0.5981865442855636,0.0,0.0,0.0,0.9059978732565692,0.0
RHCE,0.0,0.0,0.0,0.0,0.0,0.0,0.75177633850182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,1.8567344234998355,1.2043106493721658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF593,0.0,0.0,0.0,0.0,0.6029195644447761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,2.5039680406337608,2.2939640622532234,0.6523457723920841,1.6297874925234006,1.0328828188576533,2.2128044797837774,0.3995101016352691,0.0,0.0,2.431814891781754,0.8172831481083214,2.551609154654354,1.8809243072608821,3.2658106130397044,2.1473589335086083,1.6138093208444673,2.3515570751417094,0.4628448856160487,2.8803180659735657,2.5298704262116143
CD52,1.8757545051636548,0.8708229735896192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8130125670426307,1.3070650754519537,0.09591883196893385,0.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.7980508815551636,0.740698789120468,2.572435326349735,2.2669201991511505,0.7074284201474441,0.0,0.0,0.0,0.5916444507611248,0.0,1.0853495182361823,1.0799496712777599,1.0505092751835736,0.6495723902196084,0.0,0.0,0.3285986523216722,0.0,0.0
ARID1A,0.0,0.399808586205562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461970805427725,0.0,0.0,0.0,0.0,0.0
NUDC,0.0,0.0,0.4691212540734352,0.0,0.7883572234332538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526550200663847,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,0.0,2.8111410802945516,0.0,0.0,0.0,0.0,3.480070334829741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0290879658071104,0.0
WASF2,0.0,0.7213323803477252,0.0,0.0,0.0,0.6941100747387635,0.7438772680279344,0.0,0.0,0.8622168533593707,0.0,1.1003544215496435,0.0,0.8789802661771564,1.3266945731739783,0.0,0.0,0.0,0.0,0.0
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0680391101967688,0.0,0.0,0.0,0.0,0.0,0.0
