,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythroid,Erythrophagocytic macrophages,GC_B (I),ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Megakaryocytes,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Pre-B,Pro-B,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Th1/Th17,Trm_gut_CD8,pDC
ENSG00000197785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52916855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28265542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.74198973,0.0,0.5369066,0.6622701,0.6754541,0.8145584,0.7961055,0.7952603,0.0,0.6774324,0.0,0.6602513,0.0,0.0,0.7355936,0.0,0.0,0.70098853,0.0,0.0,0.0,0.0,0.65872073,0.28604156,0.69959646,0.0,0.0,0.7058089,0.0,0.0,0.7708372,0.9584256,0.0,0.9224262,0.84211284,0.0,0.8409486,0.8366231,0.0,0.8588138,0.0,0.58051264
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18155362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18083665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12564816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19369827,0.0,0.18155362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6210139
ENSG00000078369,0.0,0.0,0.9031017,1.1083734,0.79380286,0.65910083,0.86296415,0.30914012,0.0,0.6587094,0.96516603,1.4655683,1.1682736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9293694,0.0,0.607712,0.0,0.0,0.6710469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929061
ENSG00000162585,0.57448566,0.0,0.0,0.4822922,0.5426229,0.5072514,0.5909688,0.3251022,0.0,0.6028327,0.0,0.0,0.5578004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18200545,0.24767917,0.0,0.0,0.49954355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996912
ENSG00000157916,0.0,0.0,0.0,0.4568704,0.685462,0.28951037,0.49061,0.49959043,0.0,0.5456267,0.0,0.68302804,0.5578004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40317002,0.82021767,0.0,0.0,0.2579639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440018
ENSG00000157873,0.0,0.0,0.0,0.0,0.0,0.37093928,0.0,0.0,0.0,0.0,0.0,0.0,0.5578004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6404995,0.19436675,0.16472894,1.0356917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10911779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23773134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21756232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069424,0.0,0.0,0.0,0.30824283,0.081745006,0.0,0.47268915,0.0,0.0,0.18083665,0.0,0.5104259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61806726,0.0,0.1146783,0.0,0.0,0.15203539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,2.8473804,2.6333194,2.5371618,2.6815603,2.1436849,2.984903,2.8967695,3.0747442,2.569243,2.7551599,2.7176223,2.3258057,2.617107,2.815324,2.6962764,2.8537786,2.6982656,2.2432966,2.9402225,2.2999456,2.5625343,3.0249724,2.4759617,1.4871929,2.461896,2.650701,2.8298316,3.0807796,2.6982574,0.0,3.1522906,2.5837634,3.1222706,2.6246686,3.3993268,3.1001952,3.3343031,2.977092,2.601071,2.7497427,2.97997,2.942994
ENSG00000116237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14053446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000097021,0.0,0.0,0.0,0.0,0.46659034,0.0,0.0,0.22421369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15667476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.57750386,0.41449797,0.24494746,0.0,0.23875955,0.0,0.4963503,0.0,0.0,0.0,0.0,0.0,1.1767813,0.0,0.0,0.0,0.0,0.0,0.0,0.40135774,0.0,0.0,0.22146878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.16297461,0.0,0.0,0.0,0.0,0.5950968,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5193707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.90114295,0.0,0.8148039,1.2418017,1.5382524,1.1867929,1.3746547,1.5796964,1.5061562,1.0980103,0.0,1.054872,0.91374826,0.97565055,0.0,0.7878905,0.8399536,1.7648673,0.8403523,1.2140648,1.1275623,0.0,1.0189018,0.6320404,1.5923318,1.0356917,0.935398,1.2209612,0.8392457,0.0,0.91942215,1.1137724,0.89837277,1.1018226,0.8911868,0.8882762,0.9027092,1.1440619,1.1212475,0.94867206,0.9434675,2.0131001
ENSG00000142599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953033,0.67302287,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12525262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399058
ENSG00000074800,0.958277,1.2975402,1.9208848,2.5715284,1.87093,1.6857836,1.8307776,0.8802541,1.7602026,1.4616671,1.3675416,2.1775575,1.6924675,0.96155846,0.0,1.6938705,1.221945,1.9942454,0.86609215,1.2202574,1.1538562,0.0,1.4121175,0.34784165,1.7863389,0.0,1.0581769,2.403277,0.95679414,0.0,0.98406994,1.1154928,0.8965647,1.0307882,0.958277,1.0158279,0.9542333,1.1062706,1.0392697,0.9571884,0.0,1.2575243
ENSG00000171612,0.0,0.0,0.0,0.0,0.0,0.38905048,0.0,0.0,0.0,0.18083665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,0.0,0.4165121,0.3664031,0.0,0.0,0.0,0.0,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142657,0.0,0.0,1.5839082,1.4636805,0.0,0.27226898,0.5444695,1.049644,0.0,0.18155362,0.0,1.2353609,0.44090223,0.0,0.0,0.0,1.02002,0.7660577,0.0,0.0,0.0,0.0,0.76716393,0.0,0.20380595,0.0,0.0,0.7813796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56974435
ENSG00000175279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15287328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120948,0.0,0.0,0.0,0.3621567,0.0,0.0,0.0,0.3905276,0.0,0.21446666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30059022,0.0,0.0,0.36964273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116649,0.0,0.0,0.0,0.0,0.0,0.40578204,0.41449797,1.3450791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88755536,1.7141079,0.0,0.0,0.74200535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5742817
ENSG00000171824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24865727,0.0,0.23875955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13528816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116670,0.0,0.0,0.0,0.0,0.72613096,0.0,0.3689735,0.36510786,0.0,0.44826725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19805485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177674,0.0,0.0,0.9959737,0.9225621,0.0,0.0,0.3259039,0.19697851,0.0,0.0,0.0,0.5221987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7427542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000285646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1759403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23757933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.6719898,0.0,1.2194164,0.4291445,0.85594714,0.0,0.98693776,0.0,0.0,0.0,0.0,1.3198661,1.4048783,0.0,0.0,0.0,0.0,0.0,0.0,1.117773,0.0,0.0,1.8773024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824468,0.0,0.8977833,0.0,0.0,0.0,0.8211333,0.0,0.0,0.0,0.0
ENSG00000048707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116731,1.1722982,0.0,0.0,0.0,0.30298394,0.0,0.3044914,0.0,0.0,0.41463724,0.0,0.0,0.0,0.0,1.3148127,0.0,0.0,0.0,1.0455129,0.0,0.0,0.0,0.0,0.12102996,0.24997354,0.0,0.0,0.0,0.13517354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.80773175,1.4990323,1.3286517,1.8504,1.3393235,1.4231329,0.0,0.0,0.65150476,0.3526248,1.7219245,0.0,0.0,1.1548164,0.7008349,0.0,0.0,0.0,1.967121,1.3964676,0.0,1.3806028,0.0,0.25929803,0.0,0.0,0.35938707,0.6338272,0.0,0.0,1.2951288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94596577,0.0,0.6682662
ENSG00000197312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22423387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065526,0.0,0.0,0.0,0.2713699,0.21284354,0.0,0.48867783,0.15539156,0.0,0.0,0.0,0.5073828,0.91374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30367142,0.0,0.0,0.27998537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055070,0.0,0.0,0.0,0.0,0.5755279,0.0,0.0,0.25071904,0.0,0.21446666,0.0,0.0,0.0,0.0,0.6868571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23856735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37212613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000219481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000238142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796274
ENSG00000117118,0.0,0.0,0.0,0.30184117,0.31191373,0.40578204,0.55155104,0.6027173,0.0,0.0,0.0,0.5073828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475426,0.0,0.62534213,0.0,0.0,0.27833727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179051,0.0,0.0,0.0,0.55079305,0.37607574,0.0,0.6596643,0.40277502,0.0,0.49282485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31360656,0.0,0.0,0.4912863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13972999,0.0,0.0,0.0,0.0,0.0,0.0,0.7355936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62640435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31577328,0.0,0.0,0.18233567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053371,0.0,0.0,0.0,0.0,0.6583644,0.52941227,0.44801056,0.27594322,0.0,0.23380059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5390776,0.0,0.0,0.0,0.0,0.0,0.0,0.22572826,0.0,0.0,0.23937027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52511096
ENSG00000077549,1.1102121,0.0,1.3490105,1.2803775,1.4693058,1.2353032,1.2999816,0.7290099,1.7832339,1.3073857,0.0,1.7425656,0.7257168,1.0378547,0.8421502,0.4661695,0.9506283,1.9869663,0.90066695,1.2308517,1.0680727,0.0,1.5723815,0.0,0.6677885,0.0,1.0764471,0.975891,1.1674936,0.0,1.0597762,1.1584761,0.9351158,1.1274915,0.9517368,1.0371331,1.0214238,1.1404297,1.1373982,0.9602629,1.1326704,1.0448238
ENSG00000173436,0.0,1.0522969,0.8352902,1.1726575,0.9992151,0.8435441,0.99618894,1.4158405,1.6543459,0.71897805,0.48630244,0.90413547,0.97920024,0.0,0.0,0.0,0.0,0.8371464,0.0,0.0,0.0,0.0,1.0533526,0.32146513,1.0749512,0.0,0.0,0.9830639,0.13517354,0.0,0.8190001,0.0,0.0,0.0,0.88353884,0.30913767,0.0,0.7808338,0.0,0.0,0.0,0.7538547
