,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ENSG00000171488,0.0,0.8741278694200256,0.0,0.0,0.8815117525032103,0.0,0.7252096799199417
ENSG00000171492,0.0,0.0,0.0,0.4830831996585077,0.0,0.0,0.0
ENSG00000162664,0.41390819944886653,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122482,0.7988129737199616,0.8754687373538999,0.8732141181425912,1.1594454789015305,0.9819269479627813,0.9805133149953323,1.0497305079241572
ENSG00000162669,0.319965497734574,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069702,0.6536027880770957,0.0,1.5293787023268064,0.0,0.7255712672028384,0.0,0.0
ENSG00000122484,0.6985324187417222,0.0,0.5693485172083697,0.0,0.0,0.0,0.0
ENSG00000067208,1.199521032655618,0.9622140743472813,1.5881617287449963,1.4711723323048496,1.405170725489678,1.4364502671467636,1.5698582782103863
ENSG00000154511,0.0,0.0,0.0,0.0,0.0,0.0,1.2741962089921681
ENSG00000143033,0.35994473794588433,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000223745,0.46125559398912114,0.0,0.9520585091189449,0.7777301680629556,1.2917578981232092,1.12073149622761,0.7994401472561886
ENSG00000137942,0.5061265669370978,0.9856051621631129,0.0,0.0,1.3517510260768648,0.0,0.0
ENSG00000137936,0.4636157960859322,0.8372145730746179,0.0,0.0,0.8211759545297315,0.7169690446070992,0.5294301768454558
ENSG00000137962,0.31736653148940513,1.7751435911965672,1.1678412391598119,0.0,1.5687027197020165,0.0,1.4760545473429691
ENSG00000117528,0.6695534302442786,0.0,0.0,0.0,0.0,1.0820959767057776,0.0
ENSG00000117525,0.4088953043331474,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117519,0.0,0.0,0.0,0.0,0.7970832659996948,1.1183666577244478,0.8965912018885633
ENSG00000152078,0.4631783582454023,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226026,0.2258177639327848,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122481,0.1465064355955068,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117569,0.9080573095846474,1.0485146782750796,1.3313560016602053,0.6668703911849279,1.251667678133953,1.427094003438952,1.3745288010893706
ENSG00000188641,0.7227040085974589,1.6214444876318799,2.1330425349136846,2.705781738392841,2.077848297654389,1.5425075015483087,1.3699747516267677
ENSG00000099260,1.2188601296204327,1.3895925171439207,0.0,0.0,0.0,0.0,0.0
ENSG00000162688,0.6413069638952494,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122477,1.0251959318134132,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233184,0.1361353743472118,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185946,0.9424769450074657,0.0,0.5838092249392481,0.0,0.719119707809879,0.0,0.7736723260305169
ENSG00000134215,0.0,0.0,0.0,1.634702812977747,0.0,0.0,0.0
ENSG00000085491,0.3865251573291636,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134186,0.0,0.0,0.0,0.40635760561936407,0.0,0.0,0.0
ENSG00000134243,0.8395221557117746,0.0,0.0,0.0,0.0,0.7561956434537163,1.2534290213732442
ENSG00000065135,0.5424004879878905,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.3013985266059308,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224699,0.40898605015444933,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143119,0.0,0.0,0.0,0.5535992307331697,0.0,0.0,0.0
ENSG00000134255,0.3140986686243703,0.0,0.0,0.0,0.0,0.0,0.0
