,"Alveolar epithelial cells, type 1","Alveolar epithelial cells, type 2",B cells,Basal cells,"CD8+ enriched T, common subtype","Chondrocytes, cartilage cells","Ciliated cells, major (common) subtype","Ciliated cells, secretory-like","Dendritic cells, conventional (myeloid)","Dendritic cells, plasmacytoid","Endothelial cells, arterial","Endothelial cells, capillary, aerocyte-enriched","Endothelial cells, capillary, common","Endothelial cells, lymphatic","Endothelial cells, smooth muscle-like","Endothelial cells, venous; fenestrated","Fibroblasts, adventitial-enriched","Fibroblasts, alveolar-enriched","Fibroblasts, common subtype","Fibroblasts, matrix and myofibroblasts","Glandular, mucous cells","Glandular, serous cells","Glial, Schwann cells",Hybrid cells,Intermediate cells,Ionocytes,"Macrophages, M1-2 intermediate","Macrophages, inflammatory, M1-like","Macrophages, non-inflammatory, M2-like",Mast cells,Monocytes,Myoepithelial cells,Natural killer cells,Neuroendocrine cells,Neutrophils,Pericytes,Plasma cells,Pre-ciliated (deuterosomal) cells,"Secretory cells, major (common) subtype","Secretory cells, mucous","Smooth muscle cells, airway-enriched","Smooth muscle cells, vascular enriched 1","Smooth muscle cells, vascular enriched 2","T cells, central memory and naïve","T cells, interferon-stimulated","T cells, resident memory","T cells, undefined",T-NK intermediate cells,Terminal airway-enriched secretory cells,Undetermined or mixed
ENSG00000198034,0.04528355157118807,0.219146613687597,0.2611994342889001,0.31079698211801454,0.14257919193233545,0.16369380837371247,0.07100536359950493,0.05217011366742348,0.10421898342806823,0.15596456102726244,0.08946775279913223,0.04343092768858681,0.060120567448863176,0.14562861984760292,0.22526840502665998,0.2333663717721913,0.10241148618986072,0.13225214550536674,0.17078214880841408,0.20729390197893413,0.2187996179736538,0.10670922035569098,0.04286891933457802,0.13985528464450078,0.3097651162833527,0.07088942976964317,0.07238809476426963,0.04081632653061224,0.0567139555226479,0.2025365514101296,0.0730165357451934,0.2230461783666479,0.12084177507307542,0.12792484592326991,0.0,0.06460055957667264,0.08209381051591638,0.09933245102602392,0.11919900107970942,0.1284636915930758,0.1881538111124148,0.16242215845373192,0.14918887570841374,0.29989286583571545,0.31165872107221654,0.06391698012820689,0.0761659127834861,0.16807765091531407,0.10981735751614366,0.0
ENSG00000229807,0.0,0.0,0.0,0.925987850582146,0.0,0.0,0.8775510204081632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208506777662292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9145553437159981,0.9018038979515439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9143788650095294,0.0,0.0,0.0,0.0,0.0,0.8893169674604091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854688707791425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085224,0.0,0.0,0.0,0.7987789311490611,0.0,0.8186223953584766,0.8005324503532933,0.0,0.0,0.8593433609598834,0.0,0.0,0.0,0.0,0.8622259403348034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8137897780353645,0.7959183673469388,0.8222465493102463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458919416223578,0.0,0.0,0.0,0.0,0.0,0.0,0.8248010731688363,0.0,0.0,0.0,0.0,0.9097086789970072,0.0,0.0,0.0,0.0
ENSG00000131174,0.0,0.47838137756370425,0.0,0.4496090053223992,0.0,0.4191376270944131,0.4879821308531637,0.5826095249038323,0.4859602004531032,0.4612868298577718,0.43267680043286366,0.0,0.0,0.0,0.4477383259044183,0.40816326530612246,0.4792982026982361,0.4122638825697914,0.0,0.4624990919227962,0.0,0.0,0.0,0.4550071742734979,0.6004295861813959,0.6580652022275041,0.5182422409566435,0.5243651785268482,0.5790010697823982,0.0,0.481486173878362,0.4210163465514884,0.0,0.4296956986477664,0.0,0.0,0.0,0.5955034081501607,0.4763524539224355,0.4206134964063456,0.5444184930862622,0.42879894132977436,0.4802143295379387,0.0,0.4810273057580669,0.0,0.0,0.0,0.48479366099970067,0.0
ENSG00000102144,0.0,0.5788728590919634,0.0,0.5799472514748364,0.0,0.5787453685831528,0.572884169890814,0.0,0.7345608703791977,0.6167559296274909,0.5714285714285714,0.0,0.0,0.0,0.6226260529965537,0.602793526989512,0.66344011033205,0.0,0.0,0.0,0.0,0.0,0.0,0.5758407097527003,0.6012975064709221,0.6545478966265575,0.6622840684022526,0.8227662243140392,0.6772343909097146,0.0,0.742411843495023,0.0,0.0,0.6036950153294658,0.0,0.0,0.0,0.5865862853481316,0.0,0.0,0.6576875687311775,0.0,0.0,0.0,0.6425120797409236,0.7510297879748162,0.0,0.0,0.0,0.0
ENSG00000078596,0.0,0.0,0.0,0.0,0.0,0.91968458395112,0.0,0.0,0.0,0.0,0.9183673469387755,0.0,0.9259511176847891,0.0,0.918648664750593,0.9293515291877257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131171,0.0,0.0,0.0,0.0,0.0,0.7771519624708834,0.0,0.0,0.8184934012711379,0.0,0.0,0.0,0.0,0.0,0.7952031205854434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623168140856742,0.0,0.0,0.8225720792864726,0.8292837671508243,0.8432868173730313,0.0,0.8160032635368708,0.0,0.0,0.7690328513906612,0.0,0.0,0.0,0.7551020408163265,0.0,0.0,0.8395105495135615,0.7911628308013832,0.8553990619399883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9817820812435134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679767938607213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
