,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000277632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4918735,0.0,0.0,0.0,0.0
ENSG00000125691,2.5002618,2.8851628,0.0,2.8264625,2.7977884,2.5911927,3.0294108,0.0,2.5866365,2.510592,2.982861,2.4819784
ENSG00000165502,2.7376652,2.6038527,2.7731748,2.8190215,2.7363145,2.6935186,2.9920979,2.7478786,2.8109076,2.2181168,2.7255888,2.966982
ENSG00000108298,3.5640335,4.129997,2.8264654,4.005666,3.713572,3.4266887,3.7768657,3.6035018,3.3240917,3.2775297,3.9207292,3.5972288
ENSG00000132963,0.0,0.0,0.0,1.7088923,1.9189725,2.1668844,2.4890418,0.0,0.0,0.0,0.0,2.3890784
ENSG00000134333,0.0,0.0,0.0,2.083477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6620028,0.0,0.0,0.0
ENSG00000189403,0.0,3.2227268,0.0,3.371748,2.8661933,2.972536,3.3253832,0.0,0.0,0.0,2.75645,3.1493726
ENSG00000106355,0.0,0.0,0.0,0.0,0.0,0.0,2.007872,0.0,0.0,0.0,0.0,2.0896583
ENSG00000188404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5866365,0.0,0.0,0.0
ENSG00000123349,2.2254488,0.0,0.0,2.1838264,2.5832353,1.9718977,2.0712597,2.7478786,2.658628,0.0,2.3953695,0.0
ENSG00000115128,0.0,0.0,0.0,1.5480586,0.0,0.0,1.9199653,0.0,0.0,0.0,0.0,0.0
ENSG00000150991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9240828,2.8232303,0.0,0.0,0.0
ENSG00000004779,0.0,0.0,0.0,1.8001418,0.0,0.0,1.5474759,0.0,0.0,0.0,0.0,0.0
ENSG00000034510,4.053125,3.2593,0.0,0.0,4.660143,0.0,0.0,3.9775295,3.9196482,0.0,2.6457024,3.8143196
ENSG00000147168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133695
ENSG00000198830,0.0,0.0,0.0,2.1002803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111669,0.0,0.0,0.0,2.2203095,0.0,0.0,1.9470253,0.0,0.0,0.0,0.0,0.0
ENSG00000206503,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,1.208604,3.003556,2.0485642,0.0,2.1363251
ENSG00000133112,0.0,2.4364045,0.0,0.0,0.0,0.0,0.0,3.4995127,3.1303434,2.8287072,0.0,0.0
ENSG00000177954,4.5004597,4.471446,3.4014363,4.5389514,4.66443,4.289671,4.447208,0.0,3.773983,3.930601,4.886635,4.541244
ENSG00000167815,0.0,0.0,0.0,0.0,0.0,3.9667664,3.1515117,1.208604,0.0,0.0,0.0,0.0
ENSG00000271503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1363251
ENSG00000074800,0.0,0.0,0.0,2.5033476,0.0,0.0,0.0,0.0,0.0,0.0,2.2203844,0.0
ENSG00000229117,2.5002618,3.0558395,2.1245751,3.021948,2.8109076,2.6544404,2.8693242,0.0,0.0,2.0363026,2.9118779,2.7858124
ENSG00000115268,3.2533014,3.7887049,2.8631148,3.6950223,3.384052,3.247342,3.4679828,3.4081202,3.2461548,3.1886563,3.7433014,3.4049265
ENSG00000123131,0.0,0.0,2.4905972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
ENSG00000198242,2.4759707,2.3661962,0.0,2.8138494,2.7735267,2.3609998,2.7025607,0.0,0.0,0.0,2.9122891,2.464082
ENSG00000161016,2.9819677,3.3064961,2.6533976,3.2119896,2.8843477,3.0767531,3.2010021,1.4787081,3.023808,2.8035953,3.186432,2.665072
ENSG00000159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1563387,0.0,0.0,0.0,0.0
ENSG00000164104,0.0,2.526657,0.0,2.423746,0.0,2.8539715,2.2646887,0.0,0.0,0.0,0.0,2.0515127
ENSG00000169714,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185198,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101182,2.4388847,2.6484256,0.0,2.8332133,2.37902,2.430336,2.5578709,0.0,2.6896715,0.0,2.2101283,2.641149
ENSG00000140319,2.451389,3.0192719,0.0,2.5033476,2.788433,2.4910712,2.6903114,2.8285906,2.6896715,0.0,2.6725755,2.294614
ENSG00000228474,0.0,0.0,2.166576,0.0,0.0,1.3686328,2.0012033,2.9705815,0.0,0.0,0.0,0.0
ENSG00000170345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6405442,2.848401,0.0,0.0,0.0
ENSG00000166913,2.4209378,1.9589598,0.0,2.1803377,1.5625013,0.0,1.2201732,1.6302518,3.023808,0.0,0.0,0.0
ENSG00000107562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7346907,0.0,0.0,0.0,0.0
ENSG00000115541,0.0,0.0,0.0,1.8285189,0.0,0.0,2.876936,0.0,0.0,0.0,0.0,0.0
ENSG00000127951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0179603,0.0,0.0,0.0,0.0
ENSG00000143933,2.9201388,3.0623176,0.0,2.673195,3.0182397,2.6960945,3.0502548,3.0540986,0.0,0.0,2.7229385,2.9801917
ENSG00000106399,0.0,0.0,0.0,0.0,0.0,1.6378744,1.3340586,0.0,0.0,0.0,0.0,0.0
ENSG00000008988,3.1178734,3.4051971,2.4431934,3.6837986,3.083438,3.1969151,3.4594922,3.2605035,2.983747,3.1819913,3.71406,3.2716568
ENSG00000165672,0.0,0.0,0.0,0.0,0.0,0.0,1.7418859,0.0,0.0,0.0,0.0,0.0
ENSG00000063177,2.933516,3.5423417,2.656416,3.5471845,2.9505227,3.010868,3.2613072,3.1221251,3.1035366,2.8079755,3.464536,3.0275393
ENSG00000103363,0.0,0.0,0.0,1.812902,0.0,1.8850386,2.0248034,0.0,0.0,0.0,0.0,0.0
ENSG00000124562,0.0,0.0,0.0,1.8888366,0.0,0.0,2.0092688,0.0,0.0,0.0,0.0,0.0
ENSG00000111639,0.0,0.0,0.0,0.0,0.0,0.0,1.8878847,0.0,0.0,0.0,0.0,1.9470253
ENSG00000248527,3.0294108,2.8709354,2.315175,3.4965076,3.0755208,2.711698,3.1797805,1.4453747,2.848401,0.0,3.1111903,3.035048
ENSG00000109475,4.010973,3.9077435,2.87011,4.2876453,4.0799,3.789854,4.1634216,0.0,3.0657198,3.6278026,4.6003923,3.910016
ENSG00000106803,0.0,0.0,2.2421944,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154518,0.0,0.0,0.0,2.1838264,0.0,2.0933995,2.6839328,0.0,0.0,0.0,0.0,2.1363251
ENSG00000152234,0.0,0.0,0.0,0.0,0.0,1.3474734,2.270898,0.0,0.0,0.0,0.0,0.0
ENSG00000170315,2.8362303,3.4740653,2.4436917,2.8576398,2.8756192,3.188251,3.2286923,2.511108,2.879576,2.663829,2.9748845,3.1509764
ENSG00000070831,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
