celltype_l2,mean,std,median,count,q1,q3,f_score
NK CD56bright,0.5490943768120248,0.3057683450266924,0.6472930634191605,12,0.6071209894498942,0.6625312586847202,0.3125
NKT Cell,0.5842240313567437,0.19150418542349976,0.6446672937330044,67,0.5290696107494195,0.692350071011243,0.4205607476635514
DCT1,0.48042393241704306,0.2994318480441605,0.6349647183258142,1057,0.4100752470139689,0.6672669339157353,0.6519889385237183
Fibroblast,0.49379874560394504,0.2573066512075039,0.611481514232722,139,0.4630847967492484,0.6473145058028617,0.7328385899814471
DTL,0.5207708154603827,0.20282885224442745,0.6107661624271329,91,0.4363752765949364,0.6586597427575992,0.5128205128205128
cTAL1,0.433531275613666,0.27543630505394817,0.5732825370710393,1246,0.2852033344765439,0.6370007515776571,0.7296204107031736
TAL Inflammatory,0.5392548455927815,0.10455261571907894,0.5729874136403735,87,0.46958015022072097,0.6199824323755663,0.4857142857142857
mTAL,0.5209922119502798,0.15323606913533247,0.5664394568068188,1309,0.4536918926654055,0.6300109663997077,0.5860663691053755
PT S1,0.4544064898200102,0.2554898106314348,0.5588057063011104,1222,0.3997242555897298,0.6213785522894548,0.7758231844835363
DCT Injured,0.3682420973767496,0.37263009584554296,0.5452577818138733,40,0.3279733000775968,0.5952394900418158,0.2717391304347826
mPC,0.468301055963012,0.1936841943178263,0.53775444436167,210,0.4096154678090441,0.6077673999012451,0.5298507462686567
Effector Tc Cell,0.44206565780063256,0.22565253598026982,0.5116538541830212,83,0.36962756568643573,0.6032359304413887,0.4193548387096774
PT S2,0.4281110855495802,0.24001725395582946,0.5054021646221551,770,0.32189941163426494,0.6081082960394293,0.616701607267645
PT Inflammatory,0.4476533297078706,0.10932906561888013,0.4741669397802627,63,0.3768297999608562,0.5246154031042274,0.3153153153153153
DCT2,0.36870751591991124,0.28349909257942024,0.46566447949054185,720,0.24634480268509362,0.5850380463165685,0.7518796992481203
cTAL2,0.33979538058720704,0.3163487444816342,0.4656116012538283,1950,0.20984550233442767,0.5758991147555538,0.7115335217056254
MAIT,0.35540730839651336,0.25940814422174413,0.4591164194944335,16,0.2706516024860317,0.520021010098117,0.46875
Peritubular Capillary Endothelia,0.39119278586924183,0.2610168446978707,0.454743619933678,501,0.3396757795276376,0.560325997391609,0.7389402041808459
CNT,0.34982543003945404,0.2910427452799781,0.4483007254872201,1089,0.3015287603849617,0.5410959114282925,0.7359531196139263
Naïve Tc Cell,0.3072049594265414,0.3076118437882662,0.42511093743203743,42,0.20628597085682,0.5243444765142047,0.3048780487804878
Effector Th Cell,0.3177101986878535,0.20184530805225623,0.3847494229357476,89,0.2005987527847511,0.4669868653092461,0.4426229508196721
cPC,0.2169148111887379,0.28236022403048766,0.3775495374781134,468,-0.07948100534761443,0.4392857957612384,0.4939209726443769
Memory B Cell,0.33906934321640037,0.15529017512662,0.3698939275444065,41,0.2865217826690087,0.4489772576255754,0.8527131782945736
