,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythroid,Erythrophagocytic macrophages,ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,pDC
UBR4,0.0,0.0,0.0,0.28727677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRTO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85668015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.34171844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59382313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.83007634,0.0,1.5086926,1.496244,1.5845336,1.2087827,1.278511,0.67706436,1.4292607,1.259229,1.3580081,0.83930236,1.1723751,0.0,1.5587335,2.0006502,0.0,1.2322551,1.2446089,0.0,1.5965334,0.0,0.5558175,1.1076534,0.5783164,0.0,1.1223645,1.1497797,0.0,1.138551,0.989452,0.0,1.3522393,1.3865944,1.245141,0.0,1.299283,1.5751399,0.0
MICOS10,0.0,0.0,0.9764408,1.4983141,0.57279634,0.7376086,0.40466374,1.410473,0.0,0.0,0.0,0.45944333,0.0,0.0,0.7324579,0.0,0.0,0.0,0.0,0.0,1.1274071,0.0,0.6017744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28094298,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,0.0,0.81879306,0.5854566,0.62313926,1.2009944,0.0,1.259229,0.0,0.83930236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2644928,1.6151745,1.1503698,0.7031176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP1BP3,0.0,0.0,0.0,0.5157114,1.1895095,0.5149955,0.18993935,0.8327848,0.0,0.0,0.0,0.66521657,0.0,0.0,0.4309068,0.0,0.0,0.0,0.0,0.0,0.4807025,0.0,0.80817103,0.91419584,0.0,0.0,0.0,0.0,0.49240243,0.9578824,0.0,0.0,0.0,0.0,0.0,0.0,0.7093311,0.0,0.0
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83930236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93568015,0.0,0.0,0.0,0.45944333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867044,0.5751377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.0,1.4157653,1.4873695,1.6458831,1.5017648,1.3276522,1.4530544,0.8904523,1.5027566,1.8687286,1.4643962,1.365061,1.3379855,0.0,1.6795247,1.9750978,0.0,1.539612,1.2154813,1.0989797,1.7103775,0.26397568,1.0461682,1.5128881,0.9334139,0.0,1.5272627,1.5146222,1.4594369,1.3873265,1.4255288,0.0,1.203758,1.4993699,1.4812601,0.0,1.4827905,1.1665581,0.0
C1QA,0.0,2.174649,0.0,0.0,0.0,0.0,0.5470793,0.0,3.2410836,0.0,0.0,2.2294362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6215892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,2.6551776,0.0,0.0,0.0,0.0,0.0,0.0,3.1846516,0.0,0.0,2.901342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,1.894833,0.0,0.0,0.0,0.0,0.0,0.0,3.3305666,0.0,0.0,1.8340213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45944333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.0,1.1192062,0.0,0.4939757,0.78702885,0.0,0.0,0.0,0.66521657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74164414,0.9421281,0.0,0.0,0.0,0.0,1.8149028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,3.687724,3.5878496,3.300429,2.8709636,3.0264978,3.5568461,3.467874,3.9197757,2.6237786,3.5096762,3.0238614,1.4627576,3.3414593,3.832773,3.3133647,3.2026985,3.961237,2.9089136,3.2035382,3.9202676,3.3211842,2.4366598,3.1896405,3.772252,3.3498507,0.0,3.8569984,3.3984919,3.5625677,3.2463243,4.1244106,3.629332,3.985351,3.5357122,3.373744,3.2146616,3.4115982,3.5055864,3.4565136
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7708996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.35270894,0.0,0.0,0.0,0.0,0.0,0.97792184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.0,0.0,0.0,0.39980197,0.34157425,0.0,0.5735037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91419584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF10,0.0,0.0,0.0,0.28727677,1.0576371,0.37915042,0.0,1.456639,0.0,1.1253078,0.0,1.0684794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0864117,0.0,0.0,0.74164414,1.1672944,0.0,0.0,0.0,0.0,0.49240243,0.0,0.0,0.0,0.0,0.74331766,0.0,0.0,0.0,0.807336,0.0
RCAN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0069784,0.0,0.0,0.8534399,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.0,0.84433746,1.1608181,1.2864721,1.0677707,1.0865326,1.1487815,0.0,1.4885197,0.0,0.97792184,0.0,0.0,0.8861904,0.0,0.0,1.0968158,0.9605615,0.0,0.839795,0.22425914,0.70954096,1.5128881,0.0,0.0,0.9850151,1.1031749,0.0,1.2262659,1.0513475,1.536216,0.0,1.230537,1.170378,0.0,1.1174961,1.0549941,1.0038465
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66521657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864045,0.8652465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,0.0,0.93149143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1227841,0.0,1.294168,0.0,0.0,0.0,0.0,1.1464069,0.0,1.0011709,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,0.0,0.16623753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6236131,0.0,0.0,0.55259824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
