,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000278462,-0.018861113,-0.0011865144,-0.039905652,0.03717932,0.034325376,0.01663023,-0.021293275,0.080182396,0.11421876,-0.03433529,0.042548604,0.016168524,0.008048965,0.012633722,-0.023806088,0.011208976,0.016613811,0.07801594,-0.060064055,-0.029803693,-0.06945639,-0.036385942,0.09173637
ENSG00000237494,-0.0053349743,0.0565184,-0.017776819,0.058041178,0.027643874,0.018951993,-0.062262863,0.10870353,0.14346327,-0.054334085,0.045017116,0.07272846,0.060718242,0.041025333,-0.0022550786,0.039529476,-0.0146508105,0.1067459,-0.08901647,-0.064415626,-0.02577874,-0.012274964,0.12337809
ENSG00000237414,0.07420697,0.2595881,0.101385,-0.0075450065,-0.062729105,0.08444272,-0.15115175,0.061354563,0.13426712,-0.031525917,0.079270676,0.2578425,0.19983828,0.14875655,0.11394646,0.18379544,0.07063044,0.18006775,-0.00037905847,-0.05741961,0.29505217,0.12039077,0.17976497
ENSG00000272153,0.0014776454,0.0531783,-0.0029834036,-0.0015444641,-0.032241806,0.010008678,-0.06933899,0.018505722,0.034003563,-0.03760738,0.00976988,0.054108188,0.045755178,0.024412539,0.023653768,0.035639163,-0.00055104424,0.04226434,-0.032139163,-0.04485806,0.050841104,0.010466941,0.04425894
ENSG00000204049,0.050553694,0.20558396,0.03348518,0.028768985,-0.04148616,0.07674084,-0.15060052,0.083864816,0.1586473,-0.057125967,0.07325491,0.20716232,0.16961591,0.11458757,0.08905702,0.15399024,0.041821748,0.17037553,-0.04733652,-0.07938021,0.17725296,0.072304726,0.18342972
ENSG00000272672,-0.0075991633,0.023307556,-0.012705364,0.01226327,-0.017341606,-0.0050975448,-0.054199904,0.033440705,0.03905817,-0.038867828,-0.00039958916,0.027666923,0.025299454,0.014297431,0.017063124,0.024031097,-0.027692031,0.03271886,-0.045770343,-0.046605464,-0.0015427606,-0.011662175,0.03408003
ENSG00000237520,-0.013572209,0.051965192,-0.03773536,-0.03916019,0.007365653,0.018602056,-0.043773092,-0.0110832,0.12579423,-0.038318213,0.0180391,0.058013167,0.0468816,0.010371983,-0.10013639,0.030269291,-0.016860705,0.081152156,-0.06657009,-0.045111414,-0.006805521,-0.02137722,0.114985876
ENSG00000287976,-0.0013762473,0.073165655,-0.025483906,-0.052673884,-0.032197617,0.012152917,-0.07199331,-0.0038642285,0.07109347,-0.03918366,0.0041775526,0.0718811,0.06790002,0.02400517,-0.046529073,0.04895114,-0.013799681,0.06148391,-0.045046788,-0.04956185,0.03858727,-0.0035647843,0.07276447
ENSG00000271434,-0.0020488077,0.084037155,-0.042245593,-0.027160723,-0.0013523137,0.02052349,-0.07244064,0.007708562,0.14386803,-0.04806321,0.017024018,0.09734029,0.08436539,0.033463836,-0.06615814,0.054157786,-0.035691343,0.10628839,-0.07621303,-0.06494731,0.0008824348,-0.0042670714,0.13000667
ENSG00000275465,0.00039618753,0.06452191,-0.013537455,-0.00899442,-0.03161633,0.011132917,-0.0750408,0.011585984,0.055637456,-0.040420208,0.0075157825,0.06565875,0.056862585,0.025298065,0.004717159,0.05112584,-0.008946681,0.053122558,-0.041833676,-0.0511022,0.03703875,0.007839009,0.05756487
ENSG00000229672,-0.00061376585,0.0929199,-0.020619612,0.04703235,0.038007513,0.03931561,-0.06908667,0.10219297,0.20761329,-0.061629314,0.060097456,0.11268185,0.08751005,0.05719948,-0.03197561,0.05467761,-0.009799519,0.15764788,-0.104431115,-0.07134709,-0.012326403,-0.0057013948,0.17684093
ENSG00000287852,-0.006693709,0.021713972,-0.02324649,0.05070541,0.043619893,0.02548136,-0.02354685,0.09155989,0.14170769,-0.033068497,0.05762735,0.039794896,0.02713534,0.02812068,-0.021704827,0.029422574,0.021018099,0.102265984,-0.06246857,-0.03284949,-0.048060514,-0.02372938,0.1191282
ENSG00000229021,-0.012036855,0.041245073,-0.012719914,0.00075978285,-0.0468961,-0.0021940914,-0.08468632,0.019696562,0.020140344,-0.052141782,-0.004241588,0.042678803,0.038167953,0.013431239,0.0276194,0.040468063,-0.012540791,0.03189645,-0.045548744,-0.05948034,0.04077551,0.014953414,0.03117023
ENSG00000273365,0.009022131,0.102466986,-0.020404661,0.022414347,-0.029239751,0.020908207,-0.11381611,0.06599231,0.1252226,-0.066404976,0.025068691,0.11132564,0.09640239,0.065121725,0.041171998,0.085682996,-0.03225727,0.1043735,-0.07920985,-0.08369045,0.049147833,0.007662504,0.11405665
ENSG00000286636,-0.0064627524,0.06883627,-0.026635347,0.01991049,0.010439121,0.018608399,-0.0663268,0.046265613,0.13421497,-0.05013768,0.023095312,0.07706311,0.07072027,0.034564827,-0.023740435,0.03624234,-0.025990207,0.10048911,-0.07988596,-0.062280487,-0.01445942,-0.00817094,0.11520542
