,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (cardiac),"Myocyte (cardiac, cytoplasmic)",Pericyte/SMC,Schwann cell
ENSG00000077522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5376508,2.5872047,0.0,0.0
ENSG00000198626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6093493,2.478969,0.0,0.0
ENSG00000054282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414739,0.0,0.0,0.0
ENSG00000117020,0.0,1.4597057,2.406347,2.6466115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2380693,1.9465997
ENSG00000203666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1743801,0.0,0.0,0.0
ENSG00000185420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.579154,1.3790632,0.0,0.0,0.0
ENSG00000084676,0.0,0.0,0.0,1.7716298,0.0,0.0,0.0,0.0,0.0,1.535358,0.0,0.0,0.0
ENSG00000138029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4237311,1.8460512,0.0,0.0
ENSG00000228474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6647761,0.0,0.0
ENSG00000138100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9332398,0.0,0.0,0.0
ENSG00000158019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3015177,0.0,0.0,0.0
ENSG00000172954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1022253,0.0,0.0,0.0
ENSG00000115760,1.3673235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4930514,0.0,0.0,0.0
ENSG00000049323,0.0,0.0,0.0,1.8250191,0.0,0.0,0.0,0.0,0.0,1.9710102,0.0,0.0,0.0
ENSG00000115904,1.8566861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148896,0.0,0.0,0.0
ENSG00000011566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6226069,0.0,0.0,0.0
ENSG00000183023,0.0,0.0,0.0,0.0,0.0,2.5012891,0.0,0.0,0.0,4.141856,0.0,0.0,0.0
ENSG00000143919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85398185,0.0,0.0,0.0
ENSG00000171132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3754432,0.0,0.0,0.0
ENSG00000116016,0.0,0.0,2.7380033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3307366
ENSG00000170634,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776779,0.0,0.0,0.0
ENSG00000115306,2.3936636,2.665072,2.6688116,2.2072425,0.0,0.0,0.0,0.0,0.0,1.8895514,0.0,0.0,0.0
ENSG00000115310,1.9110774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115464,1.2390066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5433149,0.0,0.0,0.0
ENSG00000173163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2871939,0.0,0.0,0.0
ENSG00000115504,2.407036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0353637
ENSG00000143951,1.895535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9787151,0.0,0.0,0.0
ENSG00000014641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0134745,0.0,0.0
ENSG00000143995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8321243,0.0,0.0,0.0
ENSG00000115977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0859437,0.0,0.0,0.0
ENSG00000075292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8817266,0.0,0.0,0.0
ENSG00000144036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8548582,0.0,0.0,0.0
ENSG00000034510,0.0,2.131728,2.7471774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115459,2.0432854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115523,0.0,0.0,0.0,0.0,0.0,0.0,3.1282532,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7863632,0.0,0.0,0.0
ENSG00000135940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.031286,0.0,0.0
ENSG00000158417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7496172,0.0,0.0
ENSG00000144218,0.0,0.0,0.0,0.0,3.2647429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.638876,0.0,0.0,0.0
ENSG00000204634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4775479,0.0,0.0,0.0
ENSG00000163162,0.0,0.0,0.0,0.0,0.0,2.387506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1305337,1.9251993,0.0,0.0
ENSG00000169756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76293325,0.0,0.0,0.0
ENSG00000155368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760777,0.0,0.0
ENSG00000074054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4348408,0.0,0.0,0.0
