,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,0.35146699100732803,0.3235795311629772,0.0,0.26500697061419487,0.0,0.0,0.0,0.25792283937335014,0.28076986223459244,0.28362422809004784,0.25,0.27947843819856644,0.2647642195224762,0.29286300390958786,0.3105940595269203,0.31521404907107353,0.29662899300456047
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRRM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.8829847499728203,0.8882937170565128,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.8823495134711266,0.8853878900408745,0.0
RSRP1,0.3499387502670288,0.0,0.3247649073600769,0.5109432563185692,0.4337318167090416,0.0,0.31814005598425865,0.0,0.36045101657509804,0.0,0.0,0.34887076169252396,0.5235633291304111,0.36908526346087456,0.3125,0.3369304798543453,0.36211957037448883
TMEM50A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8916575238108635,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.89566944912076
MACO1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAN1C1,0.0,0.0,0.0,0.0,0.9464450925588608,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9427549168467522
SH3BGRL3,0.2726268284022808,0.335134532302618,0.0,0.3845049627125263,0.0,0.0,0.0,0.2813035733997822,0.2984121963381767,0.43133336305618286,0.41958486288785934,0.25,0.25880878418684006,0.36183715984225273,0.29764096066355705,0.3917149417102337,0.2954268828034401
CD52,0.7215001434087753,0.0,0.0,0.551647175103426,0.0,0.0,0.0,0.0,0.5262679643929005,0.6825455650687218,0.0,0.5,0.0,0.6316225193440914,0.5488271042704582,0.6217654682695866,0.5587751418352127
HMGN2,0.5766022279858589,0.0,0.0,0.0,0.0,0.0,0.0,0.5741343088448048,0.6297827623784542,0.6429486162960529,0.0,0.5625,0.0,0.0,0.5770968422293663,0.593901414424181,0.6219848617911339
ARID1A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
