,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
STX8,0.0,0.0,0.0,0.0,0.0,0.0,0.91214097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM220,0.0,0.0,0.0,0.0,0.0,0.0,0.5737996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM220-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.9706833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP2K4,0.0,0.0,0.0,0.0,0.0,0.0,0.7818613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCOR1,0.0,0.0,1.1226441,0.0,0.9076193,0.0,1.4557438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBB,1.9416382,2.933516,0.0,2.4686856,0.0,0.0,0.0,2.1223712,2.3242373,1.803946,0.0,2.213024,2.503116,2.1059625,1.869602,1.8007321,2.2729626
MPRIP,0.0,0.0,0.0,0.0,0.0,0.0,0.55981946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96191466
PEMT,0.0,0.0,0.0,0.0,0.0,0.0,0.5701605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHMT1,0.0,0.0,0.0,0.0,0.0,0.0,1.261764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAPL,0.0,0.0,0.0,0.0,0.9483335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC47A1,0.0,0.0,0.0,0.0,0.0,0.0,0.66265607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH3A2,0.0,0.0,0.0,0.0,0.0,0.0,0.5203781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSB1,0.0,0.0,0.92269826,0.0,1.0092999,0.0,0.0,1.6522136,0.0,1.1731453,0.0,0.0,0.0,0.0,0.5944048,0.9034945,0.0
LGALS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2546663,0.0,0.0,0.0,0.0,0.0,1.0106882,0.9019253,0.0
NLK,0.0,0.0,0.0,0.0,0.0,0.0,0.42124808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFT20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511299,0.0,0.0
RPL23A,4.2024136,3.1504414,0.0,3.7120123,0.0,0.0,0.0,3.125474,3.4658098,3.5422494,2.068839,3.7408159,3.5945864,3.9055767,4.0393705,3.8900588,3.9072022
TAOK1,0.0,0.0,0.0,0.0,0.0,0.0,0.6144915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH2,0.0,0.0,0.0,0.0,0.0,0.0,1.1826137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.7552273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD,0.0,0.0,0.8779965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97580504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1,0.0,0.0,1.4175397,0.0,1.03827,1.5760522,1.3170087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVI2B,1.1282687,0.0,0.0,0.0,0.0,0.0,0.0,1.2251607,0.0,1.5815518,1.9398491,1.2958027,0.0,0.0,1.359415,1.0940994,0.0
EVI2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0792923,0.80193925,0.0
ZNF207,0.0,0.0,0.0,0.0,0.7108637,0.0,0.8378489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO1D,0.0,0.0,0.83146477,0.0,0.0,1.6493213,0.8929399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL23,3.062315,3.1408665,0.0,2.2232423,0.0,0.0,0.0,2.7981744,2.81127,3.0782838,1.8784442,2.461626,2.2478545,2.446943,3.2810202,3.2149892,3.2437847
RPL19,4.296238,3.8028243,0.0,3.667652,0.0,0.0,0.0,3.391941,3.7037983,3.7691448,2.9223547,3.7369156,3.6874409,4.0352235,4.107893,4.1150856,3.961275
FBXL20,0.0,0.0,0.0,0.0,0.0,0.0,0.7458428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK12,0.0,0.0,0.0,0.0,0.0,0.0,0.6933472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSDMB,0.0,0.0,0.0,0.0,0.0,0.0,0.45838243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP4,0.0,0.0,0.0,0.0,0.8534814,0.0,0.6758808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1657047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4727803,0.0,0.0,0.0,0.0,0.9750738
EIF1,2.9809287,3.2629168,0.0,3.1429856,0.0,0.0,0.0,3.4218884,3.832127,3.5866354,3.4097471,3.6737213,3.1950893,3.287047,3.1004133,3.2793727,3.1626337
DNAJC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0142579
RAB5C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25119194,0.0,0.0,0.0,0.0,0.0,0.739721,0.9261837,0.0
STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.8326257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PC1,0.0,0.0,0.0,0.0,0.0,0.0,1.4898491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL27,3.3701968,2.472983,0.0,2.919102,0.0,0.0,0.0,2.8051572,3.2322297,3.218876,1.9142756,2.7681468,2.9374154,3.0243402,3.2986689,3.400227,3.3559785
GRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.304216,1.6978012,1.8538653,0.0,0.7567554,0.0,0.0,2.1279554,2.0641541,1.935653
GPATCH8,0.0,0.0,1.2029471,0.0,0.0,0.0,0.93405175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0283715,0.0,0.0,0.0,0.0,0.0,0.91317475,0.76797706,0.0
KANSL1,0.0,0.0,1.8060682,0.0,1.3087672,1.6768669,1.5630018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPEPPS,0.0,0.0,0.0,0.0,0.0,0.0,0.59511507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7526568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4068539,0.0,0.0,0.0,0.0
CALCOCO2,0.0,0.0,0.0,0.0,1.0077525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097946,0.0,0.0,0.88907313,0.8633868,0.0
ZNF652,0.0,0.0,0.0,0.0,0.0,0.0,0.78150773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
