,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
ANP32B,0.0,0.0,0.6643379,0.4858085,0.56531036,0.0,0.0,0.16507366,0.0,0.0,0.0,0.0,0.0,0.50423366
ANTKMT,0.0,0.0,0.53002983,0.30842894,0.4982565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA11,0.0,0.0,0.8365489,0.5533118,0.53266,0.0,0.0,0.4770891,0.0,0.0,0.0,0.0,0.0,0.0
ANXA2,0.0,0.0,1.544831,0.66104335,0.7125993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83158684
ANXA4,0.0,0.0,0.37538365,0.0,0.0,2.3623042,0.0,0.0,0.0,2.5097146,0.0,0.0,0.0,0.0
ANXA5,0.0,0.0,1.0496248,0.7058083,1.0494239,0.0,0.0,1.021879,0.0,0.0,0.0,0.0,0.0,0.86322826
ANXA6,0.0,0.0,0.0,0.0,0.2232545,0.0,0.0,0.39207393,0.0,0.0,0.0,0.0,0.0,0.0
ANXA7,0.0,0.0,0.970887,0.60864645,0.6862762,0.0,0.0,0.55941653,0.0,0.0,0.0,0.0,0.0,0.47498816
AOPEP,0.0,0.0,0.4092167,0.5973394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36100018
AP1S1,0.0,0.0,0.720773,0.36670542,0.605852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP1S2,0.0,0.0,0.46967012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2B1,0.0,0.0,0.0,0.0,0.2585026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2M1,0.0,0.0,1.0388861,0.56950176,1.0320914,0.0,0.0,0.4821528,0.0,0.0,0.0,0.0,0.0,0.6336344
AP2S1,0.0,0.0,0.84260184,0.4989161,0.82061076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41849285
