,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
SSR2,0.69409853,0.75085866,0.0,0.84849155,0.0,0.9731857,1.610801,0.0,0.0,0.0,1.4232528,1.4566687,0.0
LMNA,1.5231827,1.6231782,0.0,1.9072955,2.105857,2.1346803,2.250637,2.054562,2.2097666,2.2909324,2.2862349,2.139625,1.8989072
CRABP2,0.0,0.0,0.0,0.0,0.0,0.0,1.2517371,0.0,0.0,0.8089216,1.4492669,0.0,0.0
IFI16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2681521
ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6103625
FCER1A,0.0,0.0,0.0,0.0,2.0330267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,1.4806008,1.5354532,0.0,1.2847784,1.8093703,1.382109,1.4213424,1.3177092,1.4254087,1.5396599,1.5023569,1.5595276,1.9657997
PFDN2,1.6123241,1.7577918,0.0,0.0,0.85262847,1.2913864,0.0,0.0,0.0,0.0,0.0,0.0,1.1291175
ADAMTS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89348316
FCER1G,0.0,0.0,0.0,0.0,2.1350098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST3,0.6725529,0.76360583,0.0,1.1165211,0.0,1.278153,1.4377754,1.60402,0.0,1.1967877,1.3879466,0.0,0.92237866
DPT,0.0,0.0,0.0,0.0,0.0,0.0,1.3805491,0.0,1.4295024,0.0,0.0,0.0,0.0
ATP1B1,0.0,0.0,0.0,0.0,1.1055272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6527216
PRRX1,0.0,0.0,0.0,0.0,0.0,0.0,0.3583778,0.0,0.0,0.0,0.0,0.0,0.0
PRRC2C,0.0,0.0,0.0,0.0,0.0,0.20807007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX6,0.83431196,0.76655525,0.0,0.7651379,0.0,0.8078179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR1AIP2,0.6231284,0.7179371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,0.0,0.0,0.0,1.090379,0.0,0.29078627,0.0,0.0,0.0,1.258146,0.0,0.0,0.9019253
RGS16,0.0,0.0,0.0,1.28297,0.0,0.0,0.0,2.1677327,1.1486017,1.593393,0.0,0.0,1.4918487
ARPC5,0.74465054,0.8720414,0.0,1.038208,1.605609,1.1629171,0.96572495,1.159452,0.0,0.0,0.0,0.0,0.38405797
RGS1,0.0,0.0,0.0,0.0,0.8937437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643762,1.4132899,1.5219917,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6834394,0.0
PKP1,1.0147616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR1,0.33306736,0.66343117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG2,0.3514977,0.0,0.0,0.0,0.0,0.0,0.0,1.127563,0.0,0.0,0.0,0.0,0.0
PRELP,0.0,0.0,0.0,0.0,0.0,0.47276884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPE,0.7673118,0.828402,0.0,0.76057184,0.0,0.87750375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCKS1,0.5299867,0.8168787,0.0,1.3902075,0.0,1.0603927,1.3694022,1.2057263,1.2161491,1.4431832,0.9602673,0.0,0.0
CD55,1.590821,1.7311918,0.0,0.0,0.0,1.1401403,0.9796288,0.0,0.0,0.0,1.8429191,0.0,0.8068547
CD34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90331984
MIR205HG,1.9303445,2.6799169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0S2,0.0,0.0,0.0,0.0,2.5158052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7986678
IRF6,1.4065048,1.1703779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENF,0.0,0.0,0.0,0.0,0.0,0.43741384,1.2485029,0.0,0.0,0.0,1.5552437,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,0.0,0.40125978,0.0,1.2368337,0.0,0.0,0.0,0.0,0.57134867
PROX1,0.0,0.0,0.0,1.5582062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEGS1,0.72090864,0.77936167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRP9,0.96831286,0.92219615,0.0,1.2787275,0.0,1.2499131,1.035917,0.0,0.0,0.0,0.0,0.0,0.85444695
