,b_memory,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc2,dc_migratory,ilc3,macrophage,mast_cell,nk_cd56br,nk_ilc_precursor,progenitor
TMEM35B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SFPQ,0.49447082148657906,0.4176497095161014,0.40773584445317584,0.3959908253616757,0.5140485829777188,0.4481927752494812,0.4894365568955739,0.3979911439948612,0.0,0.0,0.4200195305877262,0.0,0.0,0.41659297545750934,0.0,0.0,0.5075457129213545,0.0,0.3888888888888889
MAP7D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
THRAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8485012981626723,0.0,0.0,0.0,0.837338732348548,0.0,0.0,0.8333333333333334,0.8417926364474826,0.0
ZC3H12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FHL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NDUFS5,0.0,0.6067312657833099,0.5843824545542399,0.0,0.6666097607877519,0.0,0.0,0.5846500131818984,0.6150548424985673,0.7111042340596517,0.0,0.0,0.0,0.0,0.0,0.646003481414583,0.5555555555555556,0.5871384640534719,0.0
MACF1,0.829184525542789,0.0,0.0,0.0,0.8580883940060934,0.0,0.0,0.0,0.7965489162339104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9039514925744798,0.7777777777777778,0.0
CAP1,0.0,0.0,0.0,0.0,0.8456624017821418,0.0,0.0,0.806691586971283,0.832550995879703,0.8517593774530623,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
RLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SMAP2,0.35546254449420506,0.3879735204908583,0.37367404500643414,0.0,0.0,0.4323004020584954,0.4896696276134915,0.4471742510795593,0.4806597762637668,0.5057505534754859,0.5925358997450935,0.3333333333333333,0.4173252152072059,0.3848840329382155,0.0,0.0,0.37036412954330444,0.0,0.0
CTPS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FOXJ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PPCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PPIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
YBX1,0.0,0.03000788887341817,0.03634044196870592,0.07598701119422913,0.08942881226539612,0.02561938762664795,0.07554763555526733,0.0410885214805603,0.10299995872709486,0.307917015420066,0.09001164303885566,0.10630306270387438,0.08276767532030742,0.027852820025549993,0.11296146445804173,0.08969477150175306,0.05639004376199511,0.35108186139000785,0.05038876997099982
ATP6V0B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RPS8,0.11158328255017598,0.12384855416085985,0.1722074250380198,0.05300502313507928,0.038918637567096286,0.059873594178093806,0.034175342983669706,0.09710164533721076,0.05046467317475213,0.09809696343210009,0.007251398430930244,0.024563964870240953,0.013988779650794135,0.02200782299041748,0.008659508493211534,0.1475701762570275,0.012249804205364652,0.0,0.16743239098125035
PRDX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9683329429891374,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UQCRH,0.0,0.457776321305169,0.46571335196495056,0.0,0.46432239479488796,0.4960659278763665,0.0,0.561350382036633,0.4280976288848453,0.0,0.42637144525845844,0.3888888888888889,0.0,0.4063902729087406,0.0,0.0,0.4197026921643151,0.5798205501503415,0.7337800131903754
EFCAB14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CMPK1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TUT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CZIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MAGOH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMEM59,0.0,0.0,0.0,0.5819026860925887,0.6034349468019273,0.6237114204300774,0.0,0.5741213262081146,0.6084197759628296,0.0,0.678296234872606,0.0,0.0,0.5853590998384688,0.0,0.0,0.5555555555555556,0.6327594021956126,0.0
MRPL37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JUN,0.4515174991554684,0.4189894762304094,0.3860876262187958,0.23483851552009583,0.37722379631466335,0.30600589844915604,0.2536120083596971,0.22534523407618204,0.32657934890853035,0.2659539381663005,0.0,0.17264530724949306,0.16666666666666666,0.5487277838918898,0.1723647481865353,0.0,0.47479959660106236,0.2345934940709008,0.0
TM2D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JAK1,0.2238076130549113,0.2138608197371165,0.17721936106681824,0.1852930552429623,0.21260434057977465,0.3148099117808872,0.2269058989153968,0.25290417671203613,0.17746735943688285,0.26236679818895126,0.24172325929005942,0.16666666666666666,0.20061000850465563,0.36715934342808193,0.0,0.0,0.3999564548333486,0.17501339978641933,0.0
PDE4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840081698364682,0.0,0.0,0.0,0.9444444444444444,0.0,0.0
MIER1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERBP1,0.6985205544365777,0.0,0.0,0.6938308344946967,0.0,0.0,0.0,0.0,0.6666666666666666,0.798137022389306,0.7506368623839484,0.0,0.0,0.0,0.0,0.0,0.7860588530699412,0.0,0.7074417571226755
SRSF11,0.7985305753019121,0.0,0.0,0.8214610285229154,0.8469741013314989,0.0,0.0,0.8284742964638604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
RABGGTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZZZ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
USP33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RPF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GNG5,0.0,0.0,0.328991346889072,0.30573845903078717,0.4433789650599162,0.0,0.0,0.32070045669873554,0.2777777777777778,0.45469723476303947,0.0,0.4504524701171451,0.480770081281662,0.31977337929937577,0.33168253633711076,0.5148841076427035,0.3675951659679413,0.43694599800639683,0.3072780536280738
MCOLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SELENOF,0.0,0.0,0.0,0.0,0.9822260472509596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0
PKN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GBP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TGFBR3,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.9703133238686455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL5,0.13972758915689257,0.12768023875024584,0.20846053295665318,0.08231169647640652,0.09094371398289998,0.07202948795424567,0.08195443948109944,0.11176270246505737,0.11797095669640435,0.058649016751183405,0.05739152431488037,0.023300031820933025,0.01663952072461446,0.07397533787621392,0.0,0.1779060098859999,0.05087217026286655,0.06281243099106683,0.18738052911228603
TMED5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNTTIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1PR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAV3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EEIG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPF38B,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.953142480717765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
